x	label	clickSelects	group
2	Coaching_Alignment.and.systems.planning	Coaching_Alignment.and.systems.planning	1
2	Coaching_Area.Supervisor	Coaching_Area.Supervisor	2
2	Coaching_Building.Leadership.Team.Members	Coaching_Building.Leadership.Team.Members	3
2	Coaching_Building.level.Educators	Coaching_Building.level.Educators	4
2	Coaching_CWIS	Coaching_CWIS	5
2	Coaching_Collaborative.teams	Coaching_Collaborative.teams	6
2	Coaching_Collective.teacher.efficacy	Coaching_Collective.teacher.efficacy	7
2	Coaching_Common.formative.assessment	Coaching_Common.formative.assessment	8
2	Coaching_DESE.virtual.learning.platform	Coaching_DESE.virtual.learning.platform	9
2	Coaching_Data.based.decision.making	Coaching_Data.based.decision.making	10
2	Coaching_Distance.Learning	Coaching_Distance.Learning	11
2	Coaching_District.Contact.Person	Coaching_District.Contact.Person	12
2	Coaching_District.Leadership.Team.Members	Coaching_District.Leadership.Team.Members	13
2	Coaching_Effective.teaching.learning.practices	Coaching_Effective.teaching.learning.practices	14
2	Coaching_Instructional.Leadership	Coaching_Instructional.Leadership	15
2	Coaching_Interaction.Type_Phone	Coaching_Interaction.Type_Phone	16
2	Coaching_Interaction.Type_Unknown	Coaching_Interaction.Type_Unknown	17
2	Coaching_Interaction.Type_Virtual	Coaching_Interaction.Type_Virtual	18
2	Coaching_Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Coaching_Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	19
2	Coaching_Learning.module.materials..i.e..power.points..handouts.	Coaching_Learning.module.materials..i.e..power.points..handouts.	20
2	Coaching_MMD.DCI.expectations.logistics.DESE.specifics	Coaching_MMD.DCI.expectations.logistics.DESE.specifics	21
2	Coaching_Other.Building.Administrators	Coaching_Other.Building.Administrators	22
2	Coaching_Other.District.Administrators	Coaching_Other.District.Administrators	23
2	Coaching_Parents	Coaching_Parents	24
2	Coaching_Practice.profiles	Coaching_Practice.profiles	25
2	Coaching_RPDC.Director	Coaching_RPDC.Director	26
2	Coaching_Review.of.CFA.data	Coaching_Review.of.CFA.data	27
2	Coaching_School.based.implementation.coaching	Coaching_School.based.implementation.coaching	28
2	Coaching_Self.assessment.practice.profile..SAPP.	Coaching_Self.assessment.practice.profile..SAPP.	29
2	Coaching_Virtual.Learning.Modules.and.or.PowerPoints	Coaching_Virtual.Learning.Modules.and.or.PowerPoints	30
